Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region
Afghanistan,36263,1269,25198,9796,Eastern Mediterranean
Albania,4880,144,2745,1991,Europe
Algeria,27973,1163,18837,7973,Africa
Andorra,907,52,803,52,Europe
Angola,950,41,242,667,Africa
Antigua and Barbuda,86,3,65,18,Americas
Argentina,167416,3059,72575,91782,Americas
Armenia,37390,711,26665,10014,Europe
Australia,15303,167,9311,5825,WesternPacific
Austria,20558,713,18246,1599,Europe
Azerbaijan,30446,423,23242,6781,Europe
Bahamas,382,11,91,280,Americas
Bahrain,39482,141,36110,3231,EasternMediterranean
Bangladesh,226225,2965,125683,97577,South-EastAsia
Barbados,110,7,94,9,Americas
Belarus,67251,538,60492,6221,Europe
Belgium,66428,9822,17452,39154,Europe
Belize,48,2,26,20,Americas
Benin,1770,35,1036,699,Africa
Bhutan,99,0,86,13,South-EastAsia
Bolivia,71181,2647,21478,47056,Americas
Bosnia and Herzegovina,10498,294,4930,5274,Europe
Botswana,739,2,63,674,Africa
Brazil,2442375,87618,1846641,508116,Americas
Brunei,141,3,138,0,WesternPacific
Bulgaria,10621,347,5585,4689,Europe
Burkina Faso,1100,53,926,121,Africa
Burma,350,6,292,52,South-EastAsia
Burundi,378,1,301,76,Africa
Cabo Verde,2328,22,1550,756,Africa
Cambodia,226,0,147,79,WesternPacific
Cameroon,17110,391,14539,2180,Africa
Canada,116458,8944,0,107514,Americas
Central African Republic,4599,59,1546,2994,Africa
Chad,922,75,810,37,Africa
Chile,347923,9187,319954,18782,Americas
China,86783,4656,78869,3258,WesternPacific
Colombia,257101,8777,131161,117163,Americas
Comoros,354,7,328,19,Africa
Congo (Brazzaville),3200,54,829,2317,Africa
Congo (Kinshasa),8844,208,5700,2936,Africa
Costa Rica,15841,115,3824,11902,Americas
Cote d'Ivoire,15655,96,10361,5198,Africa
Croatia,4881,139,3936,806,Europe
Cuba,2532,87,2351,94,Americas
Cyprus,1060,19,852,189,Europe
Czechia,15516,373,11428,3715,Europe
Denmark,13761,613,12605,543,Europe
Djibouti,5059,58,4977,24,EasternMediterranean
Dominica,18,0,18,0,Americas
Dominican Republic,64156,1083,30204,32869,Americas
Ecuador,81161,5532,34896,40733,Americas
Egypt,92482,4652,34838,52992,EasternMediterranean
El Salvador,15035,408,7778,6849,Americas
Equatorial Guinea,3071,51,842,2178,Africa
Eritrea,265,0,191,74,Africa
Estonia,2034,69,1923,42,Europe
Eswatini,2316,34,1025,1257,Africa
Ethiopia,14547,228,6386,7933,Africa
Fiji,27,0,18,9,WesternPacific
Finland,7398,329,6920,149,Europe
France,220352,30212,81212,108928,Europe
Gabon,7189,49,4682,2458,Africa
Gambia,326,8,66,252,Africa
Georgia,1137,16,922,199,Europe
Germany,207112,9125,190314,7673,Europe
Ghana,33624,168,29801,3655,Africa
Greece,4227,202,1374,2651,Europe
Greenland,14,0,13,1,Europe
Grenada,23,0,23,0,Americas
Guatemala,45309,1761,32455,11093,Americas
Guinea,7055,45,6257,753,Africa
Guinea-Bissau,1954,26,803,1125,Africa
Guyana,389,20,181,188,Americas
Haiti,7340,158,4365,2817,Americas
Holy See,12,0,12,0,Europe
Honduras,39741,1166,5039,33536,Americas
Hungary,4448,596,3329,523,Europe
Iceland,1854,10,1823,21,Europe
India,1480073,33408,951166,495499,South-EastAsia
Indonesia,100303,4838,58173,37292,South-EastAsia
